Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
12800,entropyDipSyn,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
12800,entropyDipSyn,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,entropyDipSyn,synflood,3,0,8,0,11,0.272727273,0.428571429,0.272727273,1,#DIV/0!
12800,entropyBiflow,total,34,2149,101,558,2842,0.768121042,0.093535076,0.251851852,0.057432432,0.79386775
12800,entropyBiflow,slowread,15,0,21,0,36,0.416666667,0.588235294,0.416666667,1,#DIV/0!
12800,entropyBiflow,slowloris,2,0,30,0,32,0.0625,0.117647059,0.0625,1,#DIV/0!
12800,entropyBiflow,ruby,7,0,8,0,15,0.466666667,0.636363636,0.466666667,1,#DIV/0!
12800,entropyBiflow,pingflood,4,0,8,0,12,0.333333333,0.5,0.333333333,1,#DIV/0!
12800,entropyBiflow,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,entropyBiflow,xmas,3,0,10,0,13,0.230769231,0.375,0.230769231,1,#DIV/0!
12800,entropyBiflow,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,entropyBiflow,synflood,3,0,8,0,11,0.272727273,0.428571429,0.272727273,1,#DIV/0!
12800,entropyRateBiflow,total,0,2707,135,0,2842,0.952498241,0,0,#DIV/0!,1
12800,entropyRateBiflow,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,entropyRateBiflow,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
