Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
3200,entropyBiflow,slowloris,0,0,60,0,60,0,0,,,
3200,entropyBiflow,ruby,0,0,41,0,41,0,0,,,
3200,entropyBiflow,pingflood,3,0,16,0,19,0.157894737,0.272727273,,,
3200,entropyBiflow,blacknurse,2,0,13,0,15,0.133333333,0.235294118,,,
3200,entropyBiflow,xmas,2,0,13,0,15,0.133333333,0.235294118,,,
3200,entropyBiflow,udpflood,0,0,7,0,7,0,0,,,
3200,entropyBiflow,synflood,0,0,13,0,13,0,0,,,
3200,entropyRateBiflow,total,22,5411,251,66,5750,0.944869565,0.121883657,0.080586081,0.25,0.955669375
3200,entropyRateBiflow,slowread,0,0,103,0,103,0,0,,,
3200,entropyRateBiflow,slowloris,0,0,60,0,60,0,0,,,
3200,entropyRateBiflow,ruby,0,0,41,0,41,0,0,,,
3200,entropyRateBiflow,pingflood,4,0,15,0,19,0.210526316,0.347826087,,,
3200,entropyRateBiflow,blacknurse,8,0,7,0,15,0.533333333,0.695652174,,,
3200,entropyRateBiflow,xmas,2,0,13,0,15,0.133333333,0.235294118,,,
3200,entropyRateBiflow,udpflood,3,0,4,0,7,0.428571429,0.6,,,
3200,entropyRateBiflow,synflood,5,0,8,0,13,0.384615385,0.555555556,,,
3200,HigstNumberOfSyn,total,10,5426,263,51,5750,0.945391304,0.05988024,0.036630037,0.163934426,0.953770434
3200,HigstNumberOfSyn,slowread,0,0,103,0,103,0,0,,,
3200,HigstNumberOfSyn,slowloris,0,0,60,0,60,0,0,,,
3200,HigstNumberOfSyn,ruby,10,0,31,0,41,0.243902439,0.392156863,,,
3200,HigstNumberOfSyn,pingflood,0,0,19,0,19,0,0,,,
3200,HigstNumberOfSyn,blacknurse,0,0,15,0,15,0,0,,,
3200,HigstNumberOfSyn,xmas,0,0,15,0,15,0,0,,,
3200,HigstNumberOfSyn,udpflood,0,0,7,0,7,0,0,,,
3200,HigstNumberOfSyn,synflood,0,0,13,0,13,0,0,,,
3200,HigstNumberOfURGPSHFIN,total,10,5467,263,10,5750,0.952521739,0.068259386,0.036630037,0.5,0.954101222
3200,HigstNumberOfURGPSHFIN,slowread,0,0,103,0,103,0,0,,,
3200,HigstNumberOfURGPSHFIN,slowloris,0,0,60,0,60,0,0,,,
3200,HigstNumberOfURGPSHFIN,ruby,0,0,41,0,41,0,0,,,
3200,HigstNumberOfURGPSHFIN,pingflood,0,0,19,0,19,0,0,,,
3200,HigstNumberOfURGPSHFIN,blacknurse,0,0,15,0,15,0,0,,,
3200,HigstNumberOfURGPSHFIN,xmas,10,0,5,0,15,0.666666667,0.8,,,
3200,HigstNumberOfURGPSHFIN,udpflood,0,0,7,0,7,0,0,,,
3200,HigstNumberOfURGPSHFIN,synflood,0,0,13,0,13,0,0,,,
3200,countBiflow,total,21,5351,252,126,5750,0.93426087,0.1,0.076923077,0.142857143,0.955024094
3200,countBiflow,slowread,0,0,103,0,103,0,0,,,
3200,countBiflow,slowloris,0,0,60,0,60,0,0,,,
3200,countBiflow,ruby,0,0,41,0,41,0,0,,,
3200,countBiflow,pingflood,2,0,17,0,19,0.105263158,0.19047619,,,
3200,countBiflow,blacknurse,0,0,15,0,15,0,0,,,
3200,countBiflow,xmas,9,0,6,0,15,0.6,0.75,,,
3200,countBiflow,udpflood,6,0,1,0,7,0.857142857,0.923076923,,,
3200,countBiflow,synflood,4,0,9,0,13,0.307692308,0.470588235,,,
3200,totalicmpDUnreachable,total,18,5469,255,8,5750,0.95426087,0.120401338,0.065934066,0.692307692,0.955450734
3200,totalicmpDUnreachable,slowread,0,0,103,0,103,0,0,,,
3200,totalicmpDUnreachable,slowloris,0,0,60,0,60,0,0,,,
3200,totalicmpDUnreachable,ruby,0,0,41,0,41,0,0,,,
3200,totalicmpDUnreachable,pingflood,0,0,19,0,19,0,0,,,
3200,totalicmpDUnreachable,blacknurse,13,0,2,0,15,0.866666667,0.928571429,,,
3200,totalicmpDUnreachable,xmas,5,0,10,0,15,0.333333333,0.5,,,
3200,totalicmpDUnreachable,udpflood,0,0,7,0,7,0,0,,,
3200,totalicmpDUnreachable,synflood,0,0,13,0,13,0,0,,,
3200,totalBytes,total,109,2820,164,2657,5750,0.509391304,0.071734123,0.399267399,0.039407086,0.945040214
3200,totalBytes,slowread,62,0,41,0,103,0.601941748,0.751515152,,,
3200,totalBytes,slowloris,0,0,60,0,60,0,0,,,
3200,totalBytes,ruby,41,0,0,0,41,1,1,,,
3200,totalBytes,pingflood,0,0,19,0,19,0,0,,,
3200,totalBytes,blacknurse,0,0,15,0,15,0,0,,,
3200,totalBytes,xmas,5,0,10,0,15,0.333333333,0.5,,,
3200,totalBytes,udpflood,1,0,6,0,7,0.142857143,0.25,,,
3200,totalBytes,synflood,0,0,13,0,13,0,0,,,
3200,totalpackets,total,134,2947,139,2530,5750,0.535826087,0.091249574,0.490842491,0.0503003,0.954957874
3200,totalpackets,slowread,61,0,42,0,103,0.59223301,0.743902439,,,
3200,totalpackets,slowloris,0,0,60,0,60,0,0,,,
3200,totalpackets,ruby,41,0,0,0,41,1,1,,,
3200,totalpackets,pingflood,7,0,12,0,19,0.368421053,0.538461538,,,
3200,totalpackets,blacknurse,8,0,7,0,15,0.533333333,0.695652174,,,
3200,totalpackets,xmas,10,0,5,0,15,0.666666667,0.8,,,
3200,totalpackets,udpflood,4,0,3,0,7,0.571428571,0.727272727,,,
3200,totalpackets,synflood,3,0,10,0,13,0.230769231,0.375,,,
3200,totalicmp,total,31,5465,242,12,5750,0.955826087,0.196202532,0.113553114,0.720930233,0.957595935
3200,totalicmp,slowread,0,0,103,0,103,0,0,,,
3200,totalicmp,slowloris,0,0,60,0,60,0,0,,,
3200,totalicmp,ruby,0,0,41,0,41,0,0,,,
3200,totalicmp,pingflood,14,0,5,0,19,0.736842105,0.848484848,,,
3200,totalicmp,blacknurse,12,0,3,0,15,0.8,0.888888889,,,
3200,totalicmp,xmas,5,0,10,0,15,0.333333333,0.5,,,
3200,totalicmp,udpflood,0,0,7,0,7,0,0,,,
3200,totalicmp,synflood,0,0,13,0,13,0,0,,,
3200,totalicmprate,total,32,5465,241,12,5750,0.956,0.201892744,0.117216117,0.727272727,0.957763757
3200,totalicmprate,slowread,0,0,103,0,103,0,0,,,
3200,totalicmprate,slowloris,0,0,60,0,60,0,0,,,
3200,totalicmprate,ruby,0,0,41,0,41,0,0,,,
3200,totalicmprate,pingflood,15,0,4,0,19,0.789473684,0.882352941,,,
3200,totalicmprate,blacknurse,12,0,3,0,15,0.8,0.888888889,,,
3200,totalicmprate,xmas,5,0,10,0,15,0.333333333,0.5,,,
3200,totalicmprate,udpflood,0,0,7,0,7,0,0,,,
3200,totalicmprate,synflood,0,0,13,0,13,0,0,,,
3200,totalflows,total,273,0,0,5477,5750,0.047478261,0.090652499,1,0.047478261,#DIV/0!
3200,totalflows,slowread,103,0,0,0,103,1,1,,,
3200,totalflows,slowloris,60,0,0,0,60,1,1,,,
3200,totalflows,ruby,41,0,0,0,41,1,1,,,
3200,totalflows,pingflood,19,0,0,0,19,1,1,,,
3200,totalflows,blacknurse,15,0,0,0,15,1,1,,,
3200,totalflows,xmas,15,0,0,0,15,1,1,,,
3200,totalflows,udpflood,7,0,0,0,7,1,1,,,
3200,totalflows,synflood,13,0,0,0,13,1,1,,,
6400,KMeansentropy,total,124,2089,116,3414,5743,0.385338673,0.065643197,0.516666667,0.03504805,
6400,KMeansentropy,slowread,87,0,0,0,87,1,1,,,
6400,KMeansentropy,slowloris,0,0,60,0,60,0,0,,,
6400,KMeansentropy,ruby,23,0,0,0,23,1,1,,,
6400,KMeansentropy,pingflood,0,0,19,0,19,0,0,,,
6400,KMeansentropy,blacknurse,0,0,15,0,15,0,0,,,
6400,KMeansentropy,xmas,8,0,7,0,15,0.533333333,0.695652174,,,
